time_s,total_Fx_N_min,total_Fx_N_max,total_Fx_N_valid_scenarios,total_Fz_N_min,total_Fz_N_max,total_Fz_N_valid_scenarios,left_ankle_Nm_min,left_ankle_Nm_max,left_ankle_Nm_valid_scenarios,left_knee_Nm_min,left_knee_Nm_max,left_knee_Nm_valid_scenarios,left_hip_Nm_min,left_hip_Nm_max,left_hip_Nm_valid_scenarios,right_ankle_Nm_min,right_ankle_Nm_max,right_ankle_Nm_valid_scenarios,right_knee_Nm_min,right_knee_Nm_max,right_knee_Nm_valid_scenarios,right_hip_Nm_min,right_hip_Nm_max,right_hip_Nm_valid_scenarios
0.0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.065133,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.098467,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.1318,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.165133,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.198467,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.2318,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
0.265122,-5.689600985459876,-1.2730027492052063,14,865.7497486558998,967.412490300947,14,-46.019781451508734,5.9389373095592575,14,-45.88729607261057,6.325075201475104,14,-157.843228359465,-118.53779671891549,14,-63.43747085202105,8.21131777700438,14,20.39994849309599,48.19910131841185,14,-46.11144884181442,21.869115257489113,14
0.298456,-5.041043559873834,-1.6499233040661436,14,877.4699489724759,980.5078051980361,14,-47.079324020225656,5.20547134033248,14,-47.1182958219778,5.293375459610587,14,-163.02274723511994,-122.38175073314281,14,-64.83119943771088,8.110328800679017,14,20.094561914630425,48.42675901730094,14,-47.05075747897895,22.052619870398733,14
0.331789,-2.0178929893873887,11.425835322740344,15,884.7825849379672,988.671892878351,15,-46.63944091772598,4.70464003937483,15,-47.55956230403122,3.214710026846329,15,-164.73038045928809,-122.13952658933707,15,-67.34408226700553,8.131813509780516,15,18.539177963207223,48.37702611708566,15,-51.35043711446531,21.195559808775755,15
0.365122,8.192165468604271,17.44185917852337,15,887.6518281554731,991.8528322347279,15,-44.96326291617143,4.082547742502982,15,-47.297067721994694,-0.04768037791742241,15,-163.2655313739715,-118.2955479426727,15,-70.51540504807102,8.232002623237618,15,15.834778295323304,49.69998946476933,15,-58.4730990097231,19.332617520800827,15
