frame,finite,inside_image,landmark_quality,bone_consistency,left_target,raw_pose_valid,near_heuristic_stroke,landmark_quality_min_critical,time_s,smooth_window_valid,normal_force_plausible,friction_compatible,double_support_compatible,feet_quasistationary,total_force_valid,torque_valid,com_x_m,com_z_projected_m,com_ax_m_s2,com_az_m_s2,required_hdot_Nm_diagnostic,load_fraction_left_diagnostic,support_lever_m_diagnostic,moment_balance_residual_Nm_diagnostic,total_Fx_N,total_Fz_N,total_Fz_BW,left_Fx_N,left_cop_x_m_assumed,left_Fz_N,left_cop_z_m_assumed,left_ankle_Nm,left_ankle_Nm_kg,left_knee_Nm,left_knee_Nm_kg,left_hip_Nm,left_hip_Nm_kg,right_Fx_N,right_cop_x_m_assumed,right_Fz_N,right_cop_z_m_assumed,right_ankle_Nm,right_ankle_Nm_kg,right_knee_Nm,right_knee_Nm_kg,right_hip_Nm,right_hip_Nm_kg
0,1,1,0,1,1,0,0,0.6789336204528809,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0,1,1,0,0,0.6753237843513489,0.050767,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,0,1,1,0,0,0.6791185140609741,0.0841,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,0,1,1,0,0,0.6776308417320251,0.117433,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,1,0,1,1,0,0,0.6712381839752197,0.150767,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,0,1,1,0,0,0.6575903296470642,0.1841,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,0,1,1,0,0,0.6545129418373108,0.217433,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,0,1,1,0,0,0.6547815203666687,0.250767,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,1,0,1,1,0,0,0.6553723812103271,0.2841,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,1,1,1,1,1,0,0.6544206142425537,0.317433,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,1,1,1,1,1,0,0.6461717486381531,0.350756,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,1,1,1,1,1,0,0.6458825469017029,0.384089,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,1,1,1,1,1,0,0.6376488208770752,0.417422,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,1,1,1,1,1,0,0.6195405721664429,0.450756,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,1,1,1,1,1,0,0.601881742477417,0.484089,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,1,1,1,1,1,0,0.592625617980957,0.517422,1,1,1,1,1,1,1,0.1801007108667834,0.9720240065518323,-1.0922536285161117,-0.39601654362943994,4.278381714836003,0.011908037646695603,0.3413288553043713,3.552713678800501e-15,-98.49943221958299,848.9530280954974,0.9615506038005406,-1.172934947048936,-0.053593644488033054,10.109364618837413,0.10330447162837941,-0.24158455217324323,-0.0026842728019249246,-6.595144401538077,-0.07327938223931196,-0.8466666402620735,-0.009407407114023039,-97.32649727253406,0.30201386968043886,838.84366347666,-2.6244431350733698e-05,-43.143667854492115,-0.4793740872721346,-1.0931176088388384,-0.012145751209320425,-141.0792677962103,-1.5675474199578923
16,1,1,1,1,1,1,0,0.5759849548339844,0.550756,1,1,1,1,1,1,1,0.17291032150056815,0.972266292538335,-0.8606947614262237,-0.4033632323843136,2.9543728369319733,0.10773024287391059,0.33989578924768016,2.1760371282653068e-14,-77.61745358541687,848.2905037035829,0.9608002080683914,-8.36174712601144,-0.04805752066397449,91.38654199161893,0.09689801641284498,-3.0665459738553276,-0.03407273304283697,11.600399491185335,0.12889332767983705,10.691281042560934,0.11879201158401038,-69.25570645940542,0.3021408484400919,756.9039617119639,-0.0001825245614240521,-40.47221667150698,-0.44969129635007754,-15.869104552910557,-0.1763233839212284,-148.38349496563424,-1.6487054996181583
17,1,1,1,1,1,1,0,0.5685816407203674,0.584089,1,1,1,1,1,1,1,0.1645129192346987,0.971596299418344,-0.5027892470043466,-0.3240070079422609,4.42910788368715,0.23375066402328834,0.34530549850820663,-1.9539925233402755e-14,-45.34153429485198,855.4468480237672,0.9689057062224115,-10.598613749256351,-0.04859154333911728,199.9612687621846,0.09090617573807484,-7.3813770615236765,-0.0820153006835964,32.07128801690857,0.35634764463231744,19.543823461636578,0.21715359401818418,-34.74292054559563,0.3020565102535424,655.4855792615825,-0.0007456583012889315,-37.11441368658957,-0.41238237429543967,-32.75328386744163,-0.363925376304907,-154.47270181183143,-1.7163633534647937
18,1,1,1,1,1,1,0,0.5714895129203796,0.617422,1,1,1,1,1,1,1,0.1554785658702604,0.9707932313351355,-0.11583029792199216,-0.2869083688379183,2.9522315634864613,0.36963351390581556,0.3512702768763385,2.6645352591003757e-15,-10.445576266605256,858.7924032981967,0.9726949861798581,-3.8610350601964907,-0.05174996669907515,317.43845374673276,0.08457151883529235,-12.79672218524341,-0.14218580205826012,49.98301489543829,0.5553668321715365,20.807856525473618,0.23119840583859574,-6.584541206408765,0.30059061417691274,541.353949551464,-0.0012882941793778229,-31.49867218327376,-0.3499852464808196,-42.9257695249386,-0.47695299472154,-148.04856424610588,-1.6449840471789543
19,1,1,1,1,1,1,0,0.5831640958786011,0.650744,1,1,1,1,1,1,1,0.14727041845713953,0.9694015516405387,-0.014916540934537767,-0.16533954588606953,-0.25652086488013126,0.43030960156899717,0.3667217930762948,9.992007221626409e-16,-1.345173661476616,869.7554797519945,0.985112107545582,-0.5788411423111117,-0.060565250687057925,374.2641339545327,0.07880959289467476,-14.059150207566548,-0.15621278008407274,61.360211120570895,0.6817801235618989,27.922913561440872,0.3102545951271208,-0.7663325191655044,0.3062808996994914,495.4913457974618,-0.001313130437377659,-28.170886995567628,-0.313009855506307,-51.29402329782968,-0.5699335921981076,-150.54320792814227,-1.672702310312692
20,1,1,1,1,1,1,0,0.5869764089584351,0.684078,1,1,1,1,1,1,1,0.13946791074892384,0.9672857286851998,-0.11463772507032031,0.10731233208963376,0.4114789487815005,0.41049610357622546,0.355661826726698,-7.327471962526033e-15,-10.338030046841489,894.3432261078435,1.0129609537975348,-4.243721052882375,-0.059408830013131186,367.12440957706093,0.07266755118967874,-14.615001648350734,-0.16238890720389704,61.68860361977379,0.6854289291085977,29.717935189492938,0.33019927988325487,-6.094308993959114,0.29712929532467414,527.2188165307825,-0.001085520736398578,-27.890895954447405,-0.3098988439383045,-51.59824800667891,-0.5733138667408768,-156.2879945593217,-1.7365332728813523
21,1,1,1,1,1,1,0,0.599237859249115,0.717411,1,1,1,1,1,1,1,0.1311416358422262,0.9655051063408749,-0.1995030329260545,0.3686088994568013,-1.6277950913544565,0.4070764863414484,0.3432694340802334,-1.4876988529977098e-14,-17.9911835092716,917.9069505530146,1.0396499609842729,-7.323787768078492,-0.05659226824216078,373.65833621951475,0.06699078519705305,-16.03619401405611,-0.17817993348951233,63.59428195965619,0.7066031328850688,29.413365893325114,0.32681517659250126,-10.667395741193108,0.2880649809094083,544.2486143334997,-0.000451534243172787,-29.217929410247482,-0.3246436601138609,-50.258158754415064,-0.5584239861601674,-157.39333810292166,-1.7488148678102406
22,1,1,1,1,1,1,0,0.6043100953102112,0.750744,1,1,1,1,1,1,1,0.12256103827408557,0.9638898848793638,-0.2821884153725295,0.7041532700429027,-2.327507547996539,0.3971723910321351,0.32896162931509404,6.661338147750939e-15,-25.447751298294715,948.1663418924693,1.0739226887444435,-10.107144229534832,-0.05407821611635788,376.5854931056249,0.06243546508865758,-17.542372895068457,-0.19491525438964952,64.78766903474688,0.7198629892749654,28.692224555434787,0.31880249506038655,-15.340607068759883,0.2766591865806084,571.5808487868444,0.0006850173223856763,-31.125670155352502,-0.3458407795039167,-47.77635879386983,-0.5308484310429982,-160.08729347215285,-1.778747705246143
23,1,1,1,1,1,1,0,0.5972317457199097,0.784078,1,1,1,1,1,1,1,0.11409190966230175,0.9631280952533003,-0.4030219445169638,1.0167430585981452,-3.5325396483032656,0.37577397632452464,0.31097950460958307,-3.3306690738754696e-14,-36.34451895653981,976.355689024381,1.1058508200525325,-13.657324405901027,-0.05012735689038303,366.8890595717627,0.05902961724014665,-18.54606895715234,-0.2060674328572482,63.80555661286645,0.7089506290318494,26.146984509446757,0.29052205010496396,-22.68719455063878,0.26322509162969226,609.4666294526182,0.0010691295839610924,-32.39523042593665,-0.35994700473262947,-43.46654173578022,-0.4829615748420024,-161.60988667290724,-1.795665407476747
24,1,1,1,1,1,1,0,0.5915908813476562,0.817411,1,1,1,1,1,1,1,0.10488250395089196,0.9639462535957817,-0.3956751850260614,1.1911459106620677,-5.709235079929849,0.39800533429916324,0.2981420648244882,-5.329070518200751e-15,-35.681988185650226,992.0833382235055,1.1236644446975936,-14.201621636288511,-0.04783608160855338,394.8544606822761,0.056657867480184684,-21.474355214260815,-0.23860394682512015,67.94606692717787,0.7549562991908652,23.03546543540743,0.2559496159489715,-21.480366549361715,0.25245301170654944,597.2288775412294,0.0023228741382804105,-31.950962252497813,-0.3550106916944201,-40.59818175137163,-0.4510909083485736,-154.9230797032033,-1.7213675522578147
