time_s,total_Fx_N_min,total_Fx_N_max,total_Fx_N_valid_scenarios,total_Fz_N_min,total_Fz_N_max,total_Fz_N_valid_scenarios,left_ankle_Nm_min,left_ankle_Nm_max,left_ankle_Nm_valid_scenarios,left_knee_Nm_min,left_knee_Nm_max,left_knee_Nm_valid_scenarios,left_hip_Nm_min,left_hip_Nm_max,left_hip_Nm_valid_scenarios,right_ankle_Nm_min,right_ankle_Nm_max,right_ankle_Nm_valid_scenarios,right_knee_Nm_min,right_knee_Nm_max,right_knee_Nm_valid_scenarios,right_hip_Nm_min,right_hip_Nm_max,right_hip_Nm_valid_scenarios
0.0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.050767,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.0841,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.117433,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.150767,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.1841,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.217433,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.250767,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.2841,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.317433,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.350756,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.384089,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.417422,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.450756,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.484089,,,1,,,1,,,0,,,0,,,0,,,0,,,0,,,0
0.517422,-114.97017731684606,-88.64948899762467,14,801.9101956186973,895.995860572297,14,-19.477276251534793,-0.21966981221813964,11,-6.895580609150912,24.32810520383564,11,-1.040226560245955,9.131969761189682,11,-83.18837964898782,-38.225918740260326,11,-50.39210502650562,-0.33761680423564755,11,-155.04405061744572,-130.13073603821806,11
0.550756,-103.63862336897208,-69.85570822687515,14,801.2588922081474,895.322115199018,14,-29.032344697119555,-0.15232205708660493,13,-7.548880072133489,32.65724221170282,13,-0.09789190568234485,11.667243358700087,13,-73.71637204640899,-35.88872889657039,13,-55.13936415234706,-4.707651662601084,13,-161.16615388151175,-134.87894314823865,13
0.584089,-49.87568772433715,-40.80738086536679,15,808.0043419213391,902.8893541261948,15,-41.58794549777367,0.7074706910649613,15,-3.71060262929902,40.75445464205541,15,3.891471947513242,21.72015561165578,15,-62.27508846634009,15.521869943856387,15,-59.152446822503045,21.149815486423662,15,-170.1296277668088,-138.73519132495701,15
0.617422,-46.11183903829094,6.875439147332783,15,811.1471403839413,906.4376662124519,15,-55.76017664708344,4.479203901624353,15,27.471788635755818,54.185422285049604,15,-8.893879878150813,24.587758976950703,15,-48.02895648975283,11.770264850182457,15,-55.65098264140504,-3.52913097417719,15,-163.17514752411387,-118.64215803235993,15
0.650744,-41.16817629101586,37.0960715205978,15,821.4981152876542,918.0128442163345,15,-58.930142240927154,6.849313801943505,15,44.951298891501835,67.45516448251877,15,-4.192583201511393,35.83517034418658,15,-42.37634704568507,11.111946723678955,15,-58.162477641012124,-19.486653648762427,15,-166.04789332290423,-116.14798339337607,15
0.684078,-29.423962961175835,26.33248452687722,15,844.7254775630284,943.9609746526581,15,-61.5788830909345,6.291388505406158,15,42.11925510390911,73.49585805913179,15,-0.7683372760644467,34.14239733293951,15,-43.085881465797925,13.37787363527491,15,-59.024189034541116,-18.100559285806135,15,-173.05101057602832,-119.73162946183851,15
0.717411,-20.687232664677357,-15.387886888821004,15,866.9861502883607,968.8277508176683,15,-66.55709712739963,6.026624955204488,15,41.99429914283694,69.71484695968834,15,-1.3485334385308185,32.8296573731265,15,-43.21157436627342,11.833658716033256,15,-56.936426226039806,-16.363184545844845,15,-174.62391298789314,-116.92590905303285,15
0.750744,-55.41211986228456,-16.669538087084415,15,895.5816272671645,1000.7510565177737,15,-71.89576021230651,5.294461660556293,15,39.07415147109471,70.937951448771,15,-2.4137456218198814,31.899878569008834,15,-44.64657817412965,11.784036810388898,15,-55.042404560246815,-10.9254338567596,15,-178.19400470336592,-115.87247865037395,15
0.784078,-58.60077401083416,-13.230994853161864,15,922.2313176781195,1030.4800603706424,15,-77.03344294172659,4.085062152821861,15,30.441036555266372,72.16515829341182,15,-4.501226361482992,28.775978934974475,15,-46.488703447997544,15.173843760145651,15,-52.77819071942207,-0.5224484231774857,15,-180.3601509725006,-114.0407250460585,15
0.817411,-51.394889903555125,-17.56796060201548,15,937.1198230593301,1047.0468533876806,15,-86.17878554688622,3.82741623505429,15,31.485096389306385,74.55452336056248,15,-12.896456459891294,25.30689105970977,15,-43.46711724846395,17.184491505388515,15,-47.653302652555766,4.180614311762943,15,-172.98562413522123,-100.28984292150231,15
0.850744,-37.22395737346889,-18.846951121482455,15,928.7570673286793,1037.6916805639196,15,-97.33657766198891,4.260357403561024,15,41.668141112092215,83.83844295942407,15,-27.60528090554856,22.210216714837106,15,-34.07101655420271,19.59543074277139,15,-41.11869905402245,3.899487341751523,15,-158.99529809653518,-73.37845106953661,15
0.884078,-25.190906255209256,-10.138499141820379,15,911.0863000511812,1018.0037559441648,15,-100.79308931734153,4.303056683324746,15,43.55406983349073,85.5965057646377,15,-37.74458093758054,21.84527881021023,15,-28.278063308627292,24.863202482942683,15,-37.30385480439917,7.627343897917406,15,-148.92439094633426,-58.26887498416553,15
0.917411,-10.153501701453573,12.469710747538668,15,888.8480944895513,993.2486910491048,15,-104.94945820078985,5.0861331790431095,15,52.17898264216601,87.56559376463889,15,-53.91142862271395,24.063699422530927,15,-20.473311165653378,26.886950024378844,15,-33.407063054037096,7.357769744440498,15,-138.64396394174085,-36.75029268317827,15
0.950744,18.269063946041282,37.112968606013396,15,853.8597602219154,954.1305562540908,15,-118.33849933360085,7.008775917028547,15,48.77139052825673,91.72070483417718,15,-98.77163590192528,19.706681756913895,15,-14.395275308824486,21.053375118126745,15,-23.78711970390109,-0.37300986771320055,15,-112.09555256805592,20.945563365343755,15
