frame,finite,inside_image,landmark_quality,bone_consistency,left_target,raw_pose_valid,near_heuristic_stroke,landmark_quality_min_critical,time_s,smooth_window_valid,normal_force_plausible,friction_compatible,double_support_compatible,feet_quasistationary,total_force_valid,torque_valid,com_x_m,com_z_projected_m,com_ax_m_s2,com_az_m_s2,required_hdot_Nm_diagnostic,load_fraction_left_diagnostic,support_lever_m_diagnostic,moment_balance_residual_Nm_diagnostic,total_Fx_N,total_Fz_N,total_Fz_BW,left_Fx_N,left_cop_x_m_assumed,left_Fz_N,left_cop_z_m_assumed,left_ankle_Nm,left_ankle_Nm_kg,left_knee_Nm,left_knee_Nm_kg,left_hip_Nm,left_hip_Nm_kg,right_Fx_N,right_cop_x_m_assumed,right_Fz_N,right_cop_z_m_assumed,right_ankle_Nm,right_ankle_Nm_kg,right_knee_Nm,right_knee_Nm_kg,right_hip_Nm,right_hip_Nm_kg
0,1,1,0,1,1,0,0,0.388206422328949,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0,1,1,0,0,0.3855244815349579,0.039511,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,0,1,1,0,0,0.38378795981407166,0.072833,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,0,1,1,0,0,0.39322009682655334,0.106167,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,1,1,1,1,1,0,0.4105951189994812,0.1395,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,1,1,1,1,0,0.4305395781993866,0.172833,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,1,1,1,1,0,0.4685218632221222,0.206167,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,1,1,1,1,0,0.4997107684612274,0.2395,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,1,1,1,1,1,0,0.525780439376831,0.272833,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,1,1,1,1,1,0,0.55333411693573,0.306167,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,1,1,1,1,1,0,0.5773827433586121,0.3395,1,1,1,1,1,1,1,0.13420194652529102,1.1927332707850204,0.4120158269393259,-0.8890810469411529,-13.62390839446428,0.963869202728515,0.22670270042891447,0.0,37.15558727338842,804.4884711868472,0.9111886637069284,35.81312628211065,0.06425588570763077,775.4216613271483,0.22247966359930804,-35.12740829258113,-0.39030453658423475,-20.22327685095464,-0.22470307612171822,-13.152067401032012,-0.146134082233689,1.342460991277767,0.28972543721333116,29.066809859698918,0.19054728218969919,-1.6570787665358582,-0.018411986294842867,-5.390557098090241,-0.059895078867669344,1.9005703516876071,0.021117448352084525
11,1,1,1,1,1,1,0,0.5968307256698608,0.372833,1,1,1,0,1,1,0,0.1424245559880776,1.1888113588553957,0.6102625860898289,-1.022096799444994,-15.727231002353932,1.0253772066966362,0.24371154859536745,-7.105427357601002e-15,55.03348001358078,792.4931106260508,0.8976023452554658,,,,,,,,,,,,,,,,,,,,
12,1,1,1,1,1,1,0,0.6126880049705505,0.406156,1,1,1,1,1,1,1,0.1519866948469315,1.182818963798571,0.5805657888011688,-0.8771546765182885,-15.076504722264216,0.9504834406057674,0.25629849533119287,1.5987211554602254e-14,52.35542283408942,805.5639912715809,0.9124068312057774,49.76296242971507,0.05795386267313117,765.6752340519266,0.21963389923157325,-33.104054114793996,-0.36782282349771106,-9.397693214202086,-0.10441881349113429,-14.325430343753801,-0.15917144826393112,2.5924604043743504,0.3122407766562791,39.888757219654316,0.18036287500780823,-2.5889027946030945,-0.02876558660670105,-6.282665850253512,-0.06980739833615013,1.0640058340662186,0.011822287045180208
13,1,1,1,1,1,1,0,0.6276440024375916,0.439489,1,1,1,1,1,1,1,0.1628570797343476,1.175583995976421,0.3046792040603426,-0.5959136106008986,-13.51797721878101,0.7614625763046988,0.2689654025838145,3.552713678800501e-15,27.475970622161704,830.9263105960111,0.9411329828927524,20.921923376423468,0.05084712581647154,632.719289185797,0.22151134866972833,-23.046799699742415,-0.2560755522193602,15.390236557962126,0.1710026284218014,13.487598759571316,0.1498622084396813,6.554047245738234,0.31846991665664903,198.20702141021414,0.17646250076984366,-14.963183460761936,-0.16625759400846596,-30.343677521751378,-0.3371519724639042,-45.27946974070792,-0.5031052193411991
14,1,1,1,1,1,1,0,0.6415983438491821,0.472822,1,1,1,1,1,1,1,0.1744596584998492,1.1679335497942125,-0.11826703419263973,-0.3160228954194405,-12.114809968328878,0.5356600330097382,0.27829276293302785,-2.1316282072803006e-14,-10.665321143492253,856.1668552910751,0.9697212088470665,-5.712986275782519,0.042798533445908775,458.614365967061,0.22698832024019872,-13.402901941273953,-0.1489211326808217,31.307283467015303,0.3478587051890589,32.548177291021055,0.36164641434467837,-4.952334867709734,0.32177590233999054,397.55248932401406,0.1737643377898736,-28.564984815016267,-0.3173887201668474,-51.31180629676303,-0.5701311810751448,-90.61705211004336,-1.0068561345560374
15,1,1,1,1,1,1,0,0.6507824063301086,0.506156,1,1,1,1,1,1,1,0.1859731463218799,1.159858082062094,-0.5664707412931695,5.524943702269915e-05,-8.632533009860728,0.30777373679884823,0.28460991881157655,-8.881784197001252e-15,-51.084331449818045,884.6707823942309,1.0020056432146685,-15.722415582181425,0.032159685465254245,272.27843253423316,0.23704027313975212,-5.62088522566471,-0.06245428028516345,29.539437949817,0.32821597722018886,30.427557876440865,0.3380839764048985,-35.36191586763662,0.32095101248664964,612.3923498599977,0.1728376769173356,-40.561789134574724,-0.45068654593971913,-60.25761501972005,-0.6695290557746673,-122.74628347880791,-1.3638475942089767
16,1,1,1,1,1,1,0,0.6632789969444275,0.539489,1,1,1,1,0,1,0,0.1964666712971961,1.1514473417068456,-0.9065665745603856,0.3718683853784372,-6.31350365864159,0.1459839306586054,0.2931436612845302,3.552713678800501e-15,-81.75417369385559,918.2008909934277,1.0399828870692351,,,,,,,,,,,,,,,,,,,,
17,1,1,1,1,1,1,0,0.6707054376602173,0.572822,1,1,1,1,0,1,0,0.20579395168643136,1.143785404827628,-1.1562811990671993,0.60117007097737,-3.977113149411543,0.031391120161648904,0.3047560214694917,1.687538997430238e-14,-104.27343853188006,938.8793170007394,1.063403915506557,,,,,,,,,,,,,,,,,,,,
18,1,1,1,1,1,1,0,0.6774387359619141,0.606156,1,1,1,0,0,1,0,0.2136721604351406,1.136994924282576,-1.2951736147233592,0.7090566153006844,-0.17890747797387713,-0.04670465359220532,0.3176418433548431,-6.161737786669619e-15,-116.79875657575256,948.608525567816,1.07442351972796,,,,,,,,,,,,,,,,,,,,
