time_s,total_Fx_N_min,total_Fx_N_max,total_Fx_N_valid_scenarios,total_Fz_N_min,total_Fz_N_max,total_Fz_N_valid_scenarios,left_ankle_Nm_min,left_ankle_Nm_max,left_ankle_Nm_valid_scenarios,left_knee_Nm_min,left_knee_Nm_max,left_knee_Nm_valid_scenarios,left_hip_Nm_min,left_hip_Nm_max,left_hip_Nm_valid_scenarios,right_ankle_Nm_min,right_ankle_Nm_max,right_ankle_Nm_valid_scenarios,right_knee_Nm_min,right_knee_Nm_max,right_knee_Nm_valid_scenarios,right_hip_Nm_min,right_hip_Nm_max,right_hip_Nm_valid_scenarios
0.0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.039511,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.072833,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.106167,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.1395,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.172833,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.206167,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.2395,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.272833,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.306167,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
0.3395,33.44002854604981,45.44104395792146,14,759.8572507655423,849.1196916081516,14,-39.810990100943556,4.899898428919471,12,-24.869932437050114,15.533382414467779,12,-18.180755394582317,21.573328354416603,12,-3.093899253297504,0.1546016485584697,12,-17.74971096946266,-2.5613653214970853,12,-43.2934733885088,9.415096885997617,12
0.372833,49.53013201222301,79.05911095842863,14,748.526770043125,836.4594512089762,14,,,2,,,2,,,2,,,2,,,2,,,2
0.406156,8.13659365494094,84.48995203693349,15,760.8704817696623,850.2575007734994,15,-37.85123250590982,6.097556180599177,13,-13.627107096306588,23.569280705144575,13,-21.191965166100633,20.922707880593514,13,-17.091745804655556,-0.3185076295900418,13,-33.14378361141216,-1.8095828909550238,13,-53.91414970365659,11.1790465115306,13
0.439489,-4.289154990361859,46.75731306916026,15,784.8245102282663,877.0281109637559,15,-73.0324303179741,8.106461514660248,15,-23.2972032927199,33.986350634857274,15,-26.69636461702185,33.74699384280083,15,-23.92081311941433,-3.322374706937417,15,-44.461379903902824,-5.443951180179179,15,-77.0439362425992,4.497436854195598,15
0.472822,-18.396466869733462,-4.588577394864839,15,808.6633891950346,903.6703213871153,15,-54.88592313714788,7.194696127059677,15,9.575358541276806,34.41366262705067,15,10.63933094218738,36.15947067175764,15,-31.23309352648049,-3.084957832368289,15,-56.03180720875835,-37.29825405059492,15,-103.10577623878106,-56.629636799657966,15
0.506156,-56.19276459480016,-37.19767763480293,15,835.5876305276422,933.7539342608194,15,-36.453951376248504,2.6549910672119754,15,6.811084476961671,35.5216524025652,15,6.530873685765932,35.12035680821707,15,-55.466689925956445,-0.3137206077603665,15,-68.76597620678358,-26.795710276502252,15,-135.0795113495386,-107.00997110707621,15
0.539489,-102.57701407017477,-57.565575022873816,15,867.2609056036189,969.1408763832363,15,,,1,,,1,,,1,,,1,,,1,,,1
0.572822,-133.1002600464431,-74.40587885096079,15,886.7974929321496,990.9611410693291,15,,,0,,,0,,,0,,,0,,,0,,,0
0.606156,-139.45776174176396,-83.8617132789137,15,895.995595664807,1001.2214554708248,15,,,0,,,0,,,0,,,0,,,0,,,0
0.639489,-126.84346965129727,-90.57890169885724,15,887.1968645344192,991.3779640573125,15,,,1,,,1,,,1,,,1,,,1,,,1
0.672822,-105.59906179508125,-86.39923237779377,15,876.926640445699,979.8766653650224,15,,,1,,,1,,,1,,,1,,,1,,,1
0.706144,-84.73528970888131,-62.78380874406414,15,868.3245010221143,970.2426502086594,15,,,3,,,3,,,3,,,3,,,3,,,3
0.739478,-69.53474215914656,-46.30497701500153,15,858.9994580213403,959.8070027365989,15,-2.9465818219366144,1.2371658422045198,13,-5.991777840422704,39.76410045031747,13,-6.484702830835431,32.591589799736006,13,-91.11819335030967,-44.23345974571333,13,-85.31028186129733,-40.48438645257712,13,-202.7237497070822,-169.13847852241906,13
0.772811,-52.18133919228137,-41.29205842135283,15,861.6271321694163,962.740539335692,15,-3.4317031921500396,1.26334920175664,13,4.09818250380432,47.13538782769102,13,3.146981308392215,39.534950628650925,13,-89.80646151008582,-43.98729134095316,13,-89.11017365639695,-45.01000523612822,13,-206.511457197512,-173.49660036210378,13
0.806144,-44.99310476600917,-36.057804060635256,15,868.8829992811454,970.8525683270275,15,-3.692942667066186,1.3855929348118243,14,9.024532964520292,48.573695896972254,14,7.507231388252043,42.4674996166099,14,-90.94985064246511,-44.17148224412938,14,-93.26741878363349,-48.14102323438485,14,-217.4743718322531,-177.60211311734008,14
0.839478,-35.36828790844034,-25.531752790959374,15,873.206324203951,975.6878616354966,15,-5.05003388130287,1.6441477656720496,14,14.566139283376026,52.412981896617694,14,13.632120175316231,47.49174940274004,14,-90.19589176701456,-43.66317193117198,14,-98.24997645966383,-53.256599683356605,14,-224.0900153114562,-182.0808896584415,14
0.872811,-21.3338130080183,-17.454937915651396,15,871.27560039218,973.5343966884492,15,-7.022441918204879,1.4513738845476074,14,19.574658713451917,52.85690635517571,14,20.56131684400644,50.44975184257692,14,-89.5598338378145,-43.19683865542488,14,-102.59349963781945,-57.758525677388874,14,-228.5118451044944,-185.11897741529663,14
