time_s,total_Fx_N_min,total_Fx_N_max,total_Fx_N_valid_scenarios,total_Fz_N_min,total_Fz_N_max,total_Fz_N_valid_scenarios,left_ankle_Nm_min,left_ankle_Nm_max,left_ankle_Nm_valid_scenarios,left_knee_Nm_min,left_knee_Nm_max,left_knee_Nm_valid_scenarios,left_hip_Nm_min,left_hip_Nm_max,left_hip_Nm_valid_scenarios,right_ankle_Nm_min,right_ankle_Nm_max,right_ankle_Nm_valid_scenarios,right_knee_Nm_min,right_knee_Nm_max,right_knee_Nm_valid_scenarios,right_hip_Nm_min,right_hip_Nm_max,right_hip_Nm_valid_scenarios
0.827389,-5.5604323716522845,0.9722826476898229,15,854.3312906741405,954.7341942460405,15,-37.6113107175808,-3.5519605447744063,14,22.078289850133235,35.86841479217286,14,9.96713658355435,19.079121384147058,14,-57.658903720181556,-39.03685831697891,14,-47.58551085754974,-25.1448569832211,14,-176.2972795605665,-117.48016545289371,14
0.860711,-18.16087130290284,-3.7977503251744804,15,870.348904973939,972.6428380205798,15,-34.99682380397802,-2.671644185310912,14,17.97233675200682,35.264877424351866,14,12.926644709638676,20.620342608967572,14,-64.84843097454501,-42.79840229244916,14,-50.872236009165135,-24.522736352120873,14,-186.4680412617693,-130.25709169574614,14
0.894044,-32.661639638746045,-15.798944743868361,15,877.8126133938109,980.9799155411014,15,-37.96221182757076,-2.029809877425355,14,14.288825197433852,36.87952691084797,14,12.136263857078953,20.519892043108737,14,-62.908743669230084,-42.6274059010725,14,-49.881550339486466,-23.72164733913423,14,-183.96791687788345,-126.10302373991571,14
0.927378,-25.110552230526373,-17.03401753740389,15,880.2512831439373,983.6829991978617,15,-42.55636695485431,-4.36703822411367,14,27.140441260366813,39.35009696739009,14,15.405138675736792,24.392135436035137,14,-57.379310096092965,-40.004859974328525,14,-46.74051635721425,-25.343444416274068,14,-174.67761557731734,-115.54600245435921,14
0.960711,-34.505635658766884,-18.683406415328754,15,885.8452233655839,989.8913738495343,15,-43.44784565429929,-5.223056788408839,14,30.15136024639054,40.8643404081592,14,16.930458640509794,27.151861177902695,14,-58.95602412174139,-41.08650311597153,14,-46.07899132557486,-23.545442198578563,14,-171.71269940924518,-115.54968978302617,14
0.994044,-37.39400765508356,-14.79168793814403,15,887.9435505836992,992.1866589656292,15,-50.09876347522381,1.2155045463816476,15,0.6741700482930277,44.91025749720585,15,6.146709366333713,28.450939570856203,15,-52.41052388918068,0.3436227568128132,15,-41.6482233800435,27.37672056157352,15,-159.31977678903354,-100.7283976886411,15
1.027378,-31.065449825898657,-3.7469092855362667,15,887.2047852410759,991.316051301739,15,-59.215804524796994,4.055473460721533,15,18.375633957589702,53.699140233935495,15,-3.821691390345684,26.426843198236607,15,-43.58328117085874,-0.48515375995103227,15,-34.783656268597646,20.226293685048887,15,-143.34391105880172,-78.13668310817832,15
1.060711,-9.687853262555318,7.677988994012259,15,878.8697584617787,981.9692103774175,15,-69.03901331894036,6.5935498884413475,15,35.48691623014187,61.978084168237594,15,-26.261324885451494,23.157197102428857,15,-35.12451944379382,0.0928579973998751,15,-26.407459214327822,13.150510373871828,15,-130.13881580625122,-49.29758359250386,15
1.094044,13.03743626870392,22.06637263758449,15,864.6708040469779,966.0829886757558,15,-83.46504337540982,9.680675483317975,15,36.273598564960146,70.26109108684379,15,-65.27970165233862,21.51335397863909,15,-23.247346405116602,0.3181810533242242,15,-21.683377080333866,3.3172999027883407,15,-107.79627163794352,-2.3122089648292263,15
1.127367,27.12942280924932,46.182829895619484,15,855.1932126682326,955.492193140488,15,-31.304908085916797,11.502405022364275,14,57.23085548491952,71.25407604208479,14,-41.692126521620374,10.275894761964206,14,-17.342729405290026,0.2187448200829749,14,-16.569706700006332,-1.325084103627046,14,-84.97164162341633,-27.56140043130257,14
