frame,finite,inside_image,landmark_quality,bone_consistency,left_target,raw_pose_valid,near_heuristic_stroke,landmark_quality_min_critical,time_s,smooth_window_valid,normal_force_plausible,friction_compatible,double_support_compatible,feet_quasistationary,total_force_valid,torque_valid,com_x_m,com_z_projected_m,com_ax_m_s2,com_az_m_s2,required_hdot_Nm_diagnostic,load_fraction_left_diagnostic,support_lever_m_diagnostic,moment_balance_residual_Nm_diagnostic,total_Fx_N,total_Fz_N,total_Fz_BW,left_Fx_N,left_cop_x_m_assumed,left_Fz_N,left_cop_z_m_assumed,left_ankle_Nm,left_ankle_Nm_kg,left_knee_Nm,left_knee_Nm_kg,left_hip_Nm,left_hip_Nm_kg,right_Fx_N,right_cop_x_m_assumed,right_Fz_N,right_cop_z_m_assumed,right_ankle_Nm,right_ankle_Nm_kg,right_knee_Nm,right_knee_Nm_kg,right_hip_Nm,right_hip_Nm_kg
0,1,1,1,1,1,1,0,0.7695085406303406,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,0,0.7595602869987488,0.060744,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1,1,1,1,0,0.7504090070724487,0.094078,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,1,1,1,1,0,0.743407130241394,0.127411,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,1,1,1,1,1,0,0.7399928569793701,0.160744,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,1,1,1,1,0,0.73508220911026,0.194078,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,1,1,1,1,0,0.7323933839797974,0.227411,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,1,1,1,1,0,0.7276621460914612,0.260733,1,1,1,0,1,1,0,0.3565837803319718,1.0303796668707896,-0.6677035311485879,-0.10621719305683146,15.903493089805528,-0.1655619924040827,0.3068230582436709,8.881784197001252e-15,-60.213504438979676,875.0871335301351,0.9911509044400669,,,,,,,,,,,,,,,,,,,,
8,1,1,1,1,1,1,0,0.7216987013816833,0.294067,1,1,1,0,1,1,0,0.3561400204463111,1.030257902749961,-0.691180198996547,-0.15873961642802337,12.555627354123185,-0.16715473142312215,0.29717371709222956,-1.0658141036401503e-14,-62.330630345508624,870.350661390521,0.9857862287807464,,,,,,,,,,,,,,,,,,,,
9,1,1,1,1,1,1,0,0.717336893081665,0.3274,1,1,1,0,1,1,0,0.35473345749813356,1.029884285580548,-0.633792623895314,-0.18808786634993166,7.2978383878157524,-0.139194317931775,0.28260665445801997,-7.993605777301127e-15,-57.155418822879426,867.7040362125634,0.9827885787887228,,,,,,,,,,,,,,,,,,,,
10,1,1,1,1,1,1,0,0.7113197445869446,0.360733,1,1,1,0,1,1,0,0.35273488604021425,1.029131204339464,-0.5703583004280338,-0.17243591980914813,3.684838444110131,-0.12163786650764666,0.26401743640766234,0.0,-51.434911532600104,869.1155287516112,0.9843872791387599,,,,,,,,,,,,,,,,,,,,
