frame,finite,inside_image,landmark_quality,bone_consistency,left_target,raw_pose_valid,near_heuristic_stroke,landmark_quality_min_critical,time_s,smooth_window_valid,normal_force_plausible,friction_compatible,double_support_compatible,feet_quasistationary,total_force_valid,torque_valid,com_x_m,com_z_projected_m,com_ax_m_s2,com_az_m_s2,required_hdot_Nm_diagnostic,load_fraction_left_diagnostic,support_lever_m_diagnostic,moment_balance_residual_Nm_diagnostic,total_Fx_N,total_Fz_N,total_Fz_BW,left_Fx_N,left_cop_x_m_assumed,left_Fz_N,left_cop_z_m_assumed,left_ankle_Nm,left_ankle_Nm_kg,left_knee_Nm,left_knee_Nm_kg,left_hip_Nm,left_hip_Nm_kg,right_Fx_N,right_cop_x_m_assumed,right_Fz_N,right_cop_z_m_assumed,right_ankle_Nm,right_ankle_Nm_kg,right_knee_Nm,right_knee_Nm_kg,right_hip_Nm,right_hip_Nm_kg
15,1,1,1,1,1,1,0,0.6641890406608582,0.508533,1,1,1,1,1,1,1,-0.0981394233350136,0.9821805308432241,-0.052383676283583674,-0.18438428334146958,4.332310105562056,0.37379420897041027,0.3269035822611899,2.6645352591003757e-15,-4.723959927253577,868.0380253282666,0.9831668652489144,-1.7657888642156676,-0.29282187292155404,324.46758703381636,0.05633109777989526,-11.676272693028176,-0.12973636325586863,48.96216007744308,0.5440240008604786,33.657440713563474,0.3739715634840386,-2.958171063037909,0.03430194111171407,543.5704382944502,0.01675254166303073,-31.2956374130986,-0.34772930458998447,-71.08511898598925,-0.7898346553998806,-166.7900174328118,-1.8532224159201311
16,1,1,1,1,1,1,0,0.6573655009269714,0.541856,1,1,1,1,1,1,1,-0.105272898357455,0.9818454235421856,0.12055138618657918,-0.04705580613169411,2.9770926005928144,0.4485373451459224,0.3289883209597336,-2.6645352591003757e-15,10.871324006305713,880.4223074030441,0.9971936883033684,4.8761948080094975,-0.2948037102225125,394.90228436980857,0.05264364541062873,-14.800013439758429,-0.16444459377509366,56.769935126857774,0.6307770569650863,34.92946878056587,0.3881052086729541,5.9951291982962145,0.03377244595928093,485.5200230332355,0.017233100463668206,-30.042854236807194,-0.33380949152007994,-70.48336482995512,-0.7831484981106125,-155.22110042323285,-1.724678893591476
17,1,1,1,1,1,1,0,0.6562740206718445,0.575189,1,1,1,1,1,1,1,-0.11214219352545603,0.9812981500619707,0.24277601280940264,0.14036818491141,2.114209926234188,0.5034790722667946,0.330861147208729,-3.4638958368304884e-14,21.893540835151935,897.3242029153112,1.0163373008441625,11.022939628317479,-0.29681861545532495,451.78395720634177,0.05074945593097205,-17.670530461348026,-0.19633922734831138,61.77735915774805,0.6864151017527561,35.84139199547998,0.39823768883866645,10.870601206834456,0.03332981999703484,445.5402457089694,0.01750270730149102,-29.334216430416003,-0.32593573811573334,-68.9250256447983,-0.7658336182755366,-146.55303117549903,-1.6283670130611003
18,1,1,1,1,1,1,0,0.6604892611503601,0.608522,1,1,1,1,1,1,1,-0.11846567323226273,0.9808865130752414,0.27849148539876434,0.3283029872106052,1.2009816042752364,0.5311512041887421,0.3346981348931123,-2.2870594307278225e-14,25.114362153260572,914.2721633866527,1.0355330879903188,13.339523700136523,-0.2997085598776778,485.6167605390669,0.049864433747094095,-19.468053946078193,-0.21631171051197992,64.74501427251214,0.7193890474723571,39.03253237072283,0.4336948041191426,11.77483845312405,0.03426749282887019,428.6554028475858,0.018981412279944255,-30.1637547364707,-0.33515283040523003,-68.58682630620761,-0.7620758478467512,-144.01509295818192,-1.6001676995353546
19,1,1,1,1,1,1,0,0.6587412357330322,0.641856,1,1,1,1,1,1,1,-0.12411971155476928,0.9810495663203084,0.19904528530414,0.44625118210243253,1.487955439966602,0.5181669323672555,0.3354275572356688,9.992007221626409e-15,17.94990382872735,924.9087316019976,1.0475803959700958,9.301046603218905,-0.30222877478098253,479.2571201738964,0.05009172905303076,-19.351780924718902,-0.21501978805243224,64.17627578135325,0.713069730903925,43.24580377161081,0.48050893079567564,8.648857225508445,0.03266492420085029,445.6516114281012,0.01932894357890876,-31.711798614232222,-0.35235331793591357,-69.31217458699285,-0.7701352731888095,-149.22349590072596,-1.6580388433413995
20,1,1,1,1,1,1,0,0.6530969738960266,0.675189,1,1,1,1,1,1,1,-0.12963622959704357,0.9818639344123719,0.11683195656453314,0.5004986956990741,0.8825389418774054,0.5066645321053297,0.3357538186521615,2.2426505097428162e-14,10.535905842989601,929.8007723781427,1.0531212735056548,5.338169804244136,-0.3048803353853868,471.09707328814585,0.05140401881283348,-19.082750472542607,-0.21203056080602897,63.313431040566456,0.7034825671174051,47.43053784467943,0.5270059760519936,5.197736038745465,0.030537597373420072,458.70369908999686,0.019859650580902048,-32.48943045231682,-0.3609936716924091,-68.51383991001106,-0.7612648878890117,-152.59463747139688,-1.6954959719044098
21,1,1,1,1,1,1,0,0.650694727897644,0.708522,1,1,1,1,1,1,1,-0.13519420370454746,0.9832183598269707,0.08156313671173217,0.5439845084098764,0.7538831307952736,0.5039868423815472,0.33406949962517823,1.3988810110276972e-14,7.355363668664008,933.7223229684029,1.0575629436724463,3.7070065099379264,-0.3074200074570125,470.58376521400857,0.05332634134516483,-19.31502744737078,-0.21461141608189757,62.57001149057888,0.6952223498953208,49.69495855691888,0.5521662061879875,3.648357158726082,0.02639429170726322,463.1385577543943,0.019614278891317102,-31.45780202966902,-0.3495311336629891,-65.91732984788653,-0.7324147760876282,-152.9437162976448,-1.699374625529387
22,1,1,1,1,1,1,0,0.6521666049957275,0.741856,1,1,1,1,1,1,1,-0.140513344516347,0.9855936706502371,0.028243332412914785,0.4865336201547683,-0.09005834829550527,0.4947683540942255,0.329046929223973,-2.3120394487818885e-14,2.546983716996656,928.5414018655572,1.0516948712940957,1.260166941563228,-0.309408699361864,459.41290110936654,0.05492501934671505,-19.11889232252155,-0.2124321369169061,61.0182071037371,0.6779800789304122,50.11679945448716,0.5568533272720795,1.2868167754334279,0.01953604444187569,469.12850075619065,0.01722049419527804,-28.776669492160952,-0.3197407721351217,-61.42754501359888,-0.6825282779288765,-150.4157186605448,-1.6712857628949422
23,1,1,1,1,1,1,0,0.649876058101654,0.775189,1,1,1,1,1,1,1,-0.1454565630889693,0.9886275286485655,-0.10040802395588415,0.3892068487076109,1.026425685155475,0.45676247089263305,0.3216366831241073,2.6867397195928788e-14,-9.054795600341635,919.7644736164526,1.041753849378698,-4.135890811839788,-0.30989237307761625,420.1138936083129,0.055961436719996344,-17.68999028177055,-0.19655544757522836,56.96145549245952,0.632905061027328,47.77469021499052,0.5308298912776724,-4.918904788501847,0.012170035335688723,499.65058000813974,0.014300448655294888,-26.339831476657448,-0.29266479418508273,-58.13771489676036,-0.645974609964004,-151.9003931729131,-1.6877821463657012
24,1,1,1,1,1,1,0,0.6423846483230591,0.808522,1,1,1,1,1,1,1,-0.1507863294202223,0.9920766841745355,-0.16221505264526304,0.28488437006546585,2.1707767227716515,0.43839984731478365,0.31353509439835664,1.1546319456101628e-14,-14.628553447549823,910.356672492504,1.0310982812238123,-6.413155597841994,-0.309470740052185,399.1002262227083,0.05641728835836682,-17.13372743524774,-0.19037474928053044,53.93104219957245,0.5992338022174717,43.62541602850336,0.4847268447611484,-8.215397849707829,0.004815548216388965,511.25644626979573,0.01218831544133556,-22.716628757873735,-0.2524069861985971,-53.40752776690189,-0.5934169751877988,-148.29337446213188,-1.6477041606903542
25,1,1,1,1,1,1,0,0.6291648149490356,0.841844,1,1,1,1,1,1,1,-0.1571814391981101,0.9959901147653496,0.008191689150903845,0.14170736498996195,1.2387833933925798,0.5028413811251988,0.3078310856928521,2.90878432451791e-14,0.738726527628509,897.444970174795,1.0164740855983632,0.3714622674265418,-0.30961497388708836,451.2724682865568,0.056968478112799634,-20.007607523599933,-0.2223067502622215,56.607615562747405,0.628973506252749,38.14679678397262,0.42385329759969576,0.3672642602019672,-0.0018214186480484673,446.17250188823823,0.011247756794612882,-17.64919314250138,-0.19610214602779313,-46.313742300659285,-0.5145971366739921,-128.34588638870372,-1.4260654043189303
26,1,1,1,1,1,1,0,0.618291974067688,0.875178,1,1,1,1,1,1,1,-0.16336776120896312,0.9999912791950271,0.16469858113147598,0.015466848739097806,-1.209569226529826,0.5746564664301218,0.30285885882201474,-1.0880185641326534e-14,14.852518046436508,886.0606004192922,1.0035797943360427,8.535095538154819,-0.3093749655396151,509.18045367990254,0.05711168293234739,-22.99600372828865,-0.25551115253654055,59.44641391330464,0.6605157101478293,28.97882380945064,0.3219869312161182,6.317422508281688,-0.0072438621465961694,376.88014673938966,0.011157639578994974,-13.639420784966243,-0.15154911983295824,-38.816427321106644,-0.43129363690118494,-105.87031261163887,-1.1763368067959874
27,1,1,1,1,1,1,0,0.5968297123908997,0.908511,1,1,1,1,1,1,1,-0.16912347916486548,1.0041163823286754,0.2616516219359158,-0.13403067323587675,-5.341628566206215,0.6395719012962998,0.2997613858262735,-9.769962616701378e-15,23.595743266180893,872.5789138875889,0.9883100168621461,15.091174383250678,-0.3089430126780034,558.0769549861456,0.056829311669706103,-25.374218673374248,-0.2819357630374916,61.67289190169476,0.6852543544632751,18.36323457958793,0.20403593977319925,8.504568882930215,-0.010284238047822747,314.5019589014434,0.012002119454933853,-10.922638212464786,-0.12136264680516429,-31.81792836046243,-0.35353253733847145,-84.41119014370823,-0.9379021127078692
28,1,1,1,1,1,1,0,0.5811686515808105,0.941844,1,1,1,1,1,1,1,-0.17435004336371004,1.0079308465034693,0.2809832877550383,-0.24777349400846949,-7.985002928248167,0.6760755440014677,0.2985133947707493,-3.2862601528904634e-14,25.339072889749357,862.3215863103164,0.9766922486242116,17.13112748843014,-0.3083158109830195,582.9945355689558,0.056131501756820315,-26.518232000979086,-0.29464702223310096,62.32582067569054,0.6925091186187837,9.34815294102048,0.10386836601133867,8.207945401319217,-0.010919719089897417,279.3270507413606,0.013723313588980022,-9.780964276712217,-0.10867738085235797,-27.452189448622548,-0.3050243272069172,-71.52599112851846,-0.7947332347613162
29,1,1,1,1,1,1,0,0.5592119693756104,0.975178,1,1,1,1,1,1,1,-0.1795857392318384,1.0113356239629256,0.3517892100354063,-0.32398330865537817,-10.660988438245562,0.7324143903041871,0.3007676055820749,1.5987211554602254e-14,31.724350960992947,855.4489852254582,0.968908126883518,23.2353711668917,-0.3080408977212853,626.5431469502395,0.05525431519388199,-28.971286260684444,-0.3219031806742716,62.17640401223818,0.6908489334693131,-2.6745044584191753,-0.029716716204657503,8.488979794101246,-0.008505150196915723,228.90583827521868,0.01646211879104263,-8.84021359456516,-0.09822459549516845,-23.141084750203376,-0.25712316389114864,-55.787842819786675,-0.619864920219852
30,1,1,1,1,1,1,0,0.5481994152069092,1.008511,1,1,1,1,1,1,1,-0.18427396538734037,1.014451033745447,0.3835591032835602,-0.4037196978847719,-12.524456528427683,0.7728312664198544,0.30585827026850365,-1.5987211554602254e-14,34.589359934111464,848.2583576447514,0.9607637984423506,26.731738842531534,-0.30771870540451746,655.560580789819,0.05457818140849984,-30.80060861527616,-0.34222898461417955,59.81629005776189,0.6646254450862432,-12.967310397784974,-0.14408122664205528,7.8576210915799285,-0.0030089697569188473,192.69777685493236,0.020178498671872824,-8.606290471208347,-0.09562544968009273,-20.552056119936346,-0.22835617911040385,-45.17043706915417,-0.501893745212824
31,1,1,1,1,1,1,0,0.5317752361297607,1.041844,1,1,1,1,1,1,1,-0.18872156386199895,1.0171190421967926,0.4744820114436758,-0.470430972418718,-14.86912115988967,0.8340503799054115,0.30941075040438454,1.7763568394002505e-14,42.78878779199069,842.2423349072802,0.9539498639792503,35.68800471360187,-0.3067037286653412,702.4725394018379,0.05428731597154902,-34.200236179485685,-0.3800026242165076,55.111751186069256,0.6123527909563251,-29.284307961485375,-0.32538119957205974,7.100783078388821,0.0015005969317403167,139.7697955054423,0.022685896301240516,-6.878677359675039,-0.07642974844083376,-15.651460750516122,-0.17390511945017914,-28.194252066362118,-0.31326946740402356
32,1,1,1,1,1,1,0,0.5206243991851807,1.075178,1,1,1,1,1,1,1,-0.1927836277179878,1.0190572136713572,0.6086684825282136,-0.4827554280462496,-17.103850058586122,0.9062596270046727,0.31364408655313963,1.4210854715202004e-14,54.88972375439432,841.1309154987894,0.9526910357897715,49.744340576046916,-0.30552756310592866,762.2829897420316,0.054472776656818246,-38.89281162104155,-0.43214235134490614,47.813410586558604,0.531260117628429,-50.695073011663425,-0.5632785890184825,5.145383178347402,0.00687900880823733,78.84792575675768,0.02528621225991242,-4.1733480566083205,-0.04637053396231467,-9.104450101452837,-0.10116055668280931,-7.543750740820869,-0.08381945267578743
33,1,1,1,1,1,1,0,0.5113692283630371,1.108511,1,1,1,1,1,1,1,-0.19585974685805663,1.0204405177226699,0.6585824833121661,-0.5004623161181956,-15.453510036070833,0.9317780847190953,0.31619006254627385,-3.552713678800501e-14,59.39096834509115,839.5341083324614,0.950882442329212,55.33920273420145,-0.30419042701939647,782.2594835183744,0.05499296542202299,-41.291581264033375,-0.45879534737814864,40.099083493198414,0.445545372146649,-64.10550040500652,-0.7122833378334058,4.051765610889702,0.010754956042232353,57.27462481408706,0.026228401993615515,-3.0739151474290267,-0.03415461274921141,-6.468465681223021,-0.07187184090247802,0.02784220375548685,0.00030935781950540946
34,1,1,1,1,1,1,0,0.5051767230033875,1.141833,1,1,1,1,1,1,1,-0.19724199821185978,1.0213308621738417,0.46434800163815776,-0.5366899054271317,-11.009719969039674,0.8619427169584934,0.3170241402714292,-5.329070518200751e-15,41.87490278772908,836.2671043285816,0.9471821319838957,36.09376748122799,-0.3025797505750006,720.8143400079895,0.05574996690626053,-37.78761480784164,-0.419862386753796,38.72035872085242,0.4302262080094713,-50.50494113884125,-0.5611660126537916,5.781135306501085,0.013319555630505922,115.45276432059208,0.02535405062898459,-6.823987308232987,-0.07582208120258875,-13.729650781955561,-0.15255167535506178,-20.53694619224436,-0.22818829102493735
35,1,1,1,1,1,1,0,0.5048105120658875,1.175167,1,1,1,1,1,1,1,-0.19804015426637772,1.0213110960900844,0.23312533705889535,-0.48620932888008966,-6.112536672725945,0.7744837207104295,0.3176743941816171,7.105427357601002e-15,21.023242895971187,840.8194427215938,0.9523382520348779,16.28215937947087,-0.3010921923774881,651.2009704446898,0.056671085997853685,-33.5860683583878,-0.37317853731542,38.75908886622395,0.43065654295804384,-33.715763209999565,-0.3746195912222174,4.741083516500318,0.015880237983320958,189.618472276904,0.024625384968006696,-11.496915473024165,-0.12774350525582406,-21.59958949153891,-0.23999543879487678,-44.00553983376038,-0.48895044259733755
36,1,1,1,1,1,1,0,0.5013072490692139,1.2085,1,1,1,1,1,1,1,-0.19931470004492913,1.0204929943113092,0.15567799420387718,-0.3564745928436914,-4.137698390599438,0.7491972170857395,0.3181173708847294,-1.5987211554602254e-14,14.039041517305646,852.5189212173561,0.9655894452569442,10.518010835316549,-0.29982033376303785,638.70480328898,0.057603266830439655,-33.238239133447316,-0.36931376814941463,37.30023945035295,0.4144471050039216,-31.07923342002759,-0.3453248157780843,3.5210306819890986,0.017804282087741014,213.81411792837613,0.025061627119435742,-13.060348316416842,-0.14511498129352046,-23.771550976634494,-0.2641283441848277,-51.990834857469906,-0.5776759428607767
