time_s,total_Fx_N_min,total_Fx_N_max,total_Fx_N_valid_scenarios,total_Fz_N_min,total_Fz_N_max,total_Fz_N_valid_scenarios,left_ankle_Nm_min,left_ankle_Nm_max,left_ankle_Nm_valid_scenarios,left_knee_Nm_min,left_knee_Nm_max,left_knee_Nm_valid_scenarios,left_hip_Nm_min,left_hip_Nm_max,left_hip_Nm_valid_scenarios,right_ankle_Nm_min,right_ankle_Nm_max,right_ankle_Nm_valid_scenarios,right_knee_Nm_min,right_knee_Nm_max,right_knee_Nm_valid_scenarios,right_hip_Nm_min,right_hip_Nm_max,right_hip_Nm_valid_scenarios
0.0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.041878,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.075211,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.108544,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.141878,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.175211,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
0.208544,-69.35503887458515,-56.74503180647864,14,857.7005707660873,958.3978662922128,14,-19.127551248607475,0.22562708008773533,13,-4.915241245878656,32.48595675635973,13,-1.4027389552249896,23.174399593918395,13,-84.61912065457295,-38.60767821359547,13,-80.76705035949678,-36.72923412349554,13,-225.9420977692557,-184.70354220134686,13
0.241867,-82.48664336349465,-67.48907184285927,14,854.6388285872811,954.9601149349155,14,,,3,,,3,,,3,,,3,,,3,,,3
0.2752,-94.7407203018121,-71.31263383456003,15,849.1603956719786,948.817970014736,15,,,3,,,3,,,3,,,3,,,3,,,3
0.308533,-99.66782355517401,-73.37726677726427,15,839.6194808169658,938.1442461816615,15,,,2,,,2,,,2,,,2,,,2,,,2
0.341867,-92.85435720234149,-70.64270379247465,15,828.1465944950627,925.3215584277548,15,,,4,,,4,,,4,,,4,,,4,,,4
0.3752,-81.89728755639715,-65.3819539738419,15,819.2651219332001,915.3991127667043,15,-18.807339874912557,0.06303872754429296,14,-4.26827237893329,31.27606767929701,14,-0.5448219890270769,24.70923735368408,14,-75.35873867159732,-34.252008562726154,14,-80.40564973996088,-42.70356330390461,14,-211.8318516961281,-174.43264182489102,14
0.408533,-64.12768304837316,-52.46810431230542,15,811.3013472565394,906.5105122954269,15,-25.93060860892316,-1.8960838007398495,14,11.683251726953499,36.05186572510557,14,13.41390237301328,27.12875645583367,14,-67.67579759361871,-32.22820706072565,14,-82.222246461791,-51.31337928992013,14,-209.88032149295418,-171.31108692838302,14
0.441867,-44.10771036019927,-36.08812665834491,15,809.3191136202636,904.3162319173979,15,-34.884104656412795,-4.752020766335829,14,25.539529385576923,40.771649633869416,14,23.248401372524768,26.80393709621244,14,-59.66749245408794,-30.455460283929025,14,-81.15557465442429,-57.957398299311116,14,-204.20289061698514,-164.59584111774433,14
0.4752,-26.474870709513663,-20.406234726930407,15,812.3630222050217,907.7433617214554,15,-43.826147273884175,2.5193864842805174,15,9.71781024723761,43.80841658214596,15,12.07311278278163,32.44444222785462,15,-52.58594824811368,12.249209292316635,15,-77.63873084800878,-35.41421553668012,15,-195.7547207389054,-147.2560212358079,15
0.508533,-9.2474501278851,-2.310888561106924,15,819.8904756914616,916.1855749650713,15,-52.85461236861167,4.75228667484036,15,27.145120031001518,53.17561478319379,15,18.327245371355563,36.59769573177092,15,-45.60152418476609,8.133865469512322,15,-78.29406801323658,-45.77396658935746,15,-183.71595395151618,-127.16278914492457,15
0.541856,0.25176162238720945,17.90833231942757,15,831.5707775282388,929.2738372778491,15,-60.90362949574991,6.555069942002589,15,41.44027695137014,62.42178750137627,15,12.388092945943917,37.93123772091886,15,-39.46334433767176,4.670046808046074,15,-77.4514727303135,-52.091004295104234,15,-178.56507781841137,-107.14788329338316,15
0.575189,4.626842113959614,28.425184328945544,15,847.5211683341558,947.1272374964664,15,-67.976131739604,7.703181562503815,15,46.65410052961928,68.29357291471733,15,7.980111590898778,39.36242152922098,15,-34.99473019685395,1.9094421191707553,15,-75.51852703627821,-55.404169576944895,15,-176.55541905392923,-91.67199654952309,15
0.608522,9.107232013116562,34.597186521206844,15,863.5227155931406,965.0216111801645,15,-71.96029548169143,8.258199330941636,15,46.61808273776841,71.75668957417851,15,9.24248959325739,43.82215716969913,15,-33.67012261905049,-1.3131401428757101,15,-75.14518673335449,-54.49217387358231,15,-177.3106346725318,-86.01048533237581,15
0.641856,12.493526778091757,28.181767278250828,15,873.5678566433332,976.2496065606617,15,-71.40533971927071,7.888946971420879,15,46.7567853321383,71.12649306144081,15,15.951773451831647,47.330782686806835,15,-36.067058549521334,-1.886396051184029,15,-76.28280909489877,-56.31252608847584,15,-181.17841968393247,-92.51004131315753,15
0.675189,9.316040687020937,12.269701069708601,15,878.1936051074914,981.4079396487939,15,-70.51644086459703,7.587263234711653,15,46.51335709663621,70.16335862036443,15,22.672802079035478,52.288925865354024,15,-37.70813002412547,-1.8764670572492435,15,-75.62523736514996,-53.49723463704312,15,-182.90148482693388,-97.56414871971475,15
0.708522,-1.1059723157761636,8.199599261600941,15,881.9082122242116,985.5364337125939,15,-70.96918404713492,7.334854567004795,15,45.54102301626364,69.36427919357577,15,25.6584957335979,55.01145764192914,15,-37.407286527936506,0.35310478185998306,15,-72.86957073511238,-49.03499469560154,15,-182.58201816978257,-98.34495582930465,15
