time_s,total_Fx_N_min,total_Fx_N_max,total_Fx_N_valid_scenarios,total_Fz_N_min,total_Fz_N_max,total_Fz_N_valid_scenarios,left_ankle_Nm_min,left_ankle_Nm_max,left_ankle_Nm_valid_scenarios,left_knee_Nm_min,left_knee_Nm_max,left_knee_Nm_valid_scenarios,left_hip_Nm_min,left_hip_Nm_max,left_hip_Nm_valid_scenarios,right_ankle_Nm_min,right_ankle_Nm_max,right_ankle_Nm_valid_scenarios,right_knee_Nm_min,right_knee_Nm_max,right_knee_Nm_valid_scenarios,right_hip_Nm_min,right_hip_Nm_max,right_hip_Nm_valid_scenarios
0.0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.050389,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.083722,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.117056,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.150389,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.183722,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.217056,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.250389,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.283722,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.317056,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.350378,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.383711,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.417044,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.450378,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.483711,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.517044,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.550378,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.583711,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.617044,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.650367,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.6837,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.717033,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.750367,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.7837,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.817033,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.850367,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.8837,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.917022,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.950356,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
0.983689,22.021156094791674,28.54502310280051,14,844.9270331265159,944.0872132706572,14,-52.543505436819345,11.158417537198567,14,-32.64410569614456,47.87970567665515,14,-107.39595635037497,-77.1239501916964,14,-50.383978438111654,4.130654877097907,14,19.02955188297354,34.61486851940746,14,-12.669207771603261,17.8169876492304,14
1.017022,12.381242810460511,17.62810581050056,14,850.4436777556654,950.2466879180752,14,-55.62932433318839,11.260598204281926,14,-32.55185407867444,52.68150045208011,14,-104.20464278119968,-70.14544783751577,14,-47.80120606485741,3.7195603623515083,14,17.523767873085582,34.294390731698115,14,-6.381279107998134,17.815169687545648,14
1.050356,7.298887969214453,29.173465063269635,15,852.686220228255,952.7512829730587,15,-57.038769696458814,10.147357404218234,15,-32.82494044940673,53.35982776252092,15,-101.87759266315356,-66.57878343785279,15,-47.351445860361636,3.6285392271332393,15,17.023537013385756,34.69814776736669,15,-4.3862636816364216,18.532153209106006,15
1.083689,12.56010223930359,33.15700649841837,15,850.9188510558495,950.7805618056477,15,-56.561099007654946,8.502529866219945,15,-33.083911760363556,50.78144496740994,15,-98.55357201090685,-64.0722918676674,15,-48.48671680188144,3.8418876806321434,15,18.646014495504208,35.91798225039645,15,-5.026873701243813,18.187802912381983,15
1.117022,23.005901134528827,39.295358484149254,15,843.0819527602862,942.0250861057942,15,-53.994745102483556,6.1979172237404825,15,-33.563889486982646,44.1349466850933,15,-95.387228990761,-64.16672227920048,15,-51.48057818586793,4.331860994545016,15,22.250035452645754,37.77545160072825,15,-8.940383012637005,17.393444177901692,15
1.150356,39.78910035800177,50.83949357982916,15,834.2182635677991,932.1287398486832,15,-51.25156020981048,4.066364975362653,15,-33.95455996328288,37.379270944352946,15,-93.65364975266347,-66.27695213491296,15,-55.207654197886065,4.549170180884034,15,19.85278387538606,38.109209868581765,15,-14.437551874266239,18.608534909698257,15
1.183689,53.057331195495806,68.65242120431336,15,821.3139280474736,917.7241378211287,15,-49.19216158765283,2.5771779799653984,15,-33.64359098682586,33.438423596940765,15,-92.17111790465327,-67.64175879409436,15,-57.95536130799404,4.37836102292227,15,16.65006812749954,36.73533591348183,15,-17.680988088455173,19.783652544597484,15
1.217011,72.21038208670548,88.25713366152893,15,811.0579198172675,906.2766066356228,15,-44.79861306803779,1.1892633599091411,15,-32.323253819177296,28.003546374326802,15,-92.06226798577515,-73.23863307506588,15,-64.24181097353545,4.164407057944375,15,10.604348555805814,34.68288562256569,15,-24.113772954937737,22.766438753877324,15
1.250344,82.04408007725104,100.27609787219562,15,806.7323388317079,901.4573670143362,15,-45.413916217349524,0.5371667653523744,15,-32.29016313174462,29.117080941307087,15,-96.72055160774993,-76.75202466706203,15,-66.25635030395708,3.3847825680300474,15,7.732872254417618,33.14625000844471,15,-18.850402925531185,27.736438478005606,15
1.283678,92.9251402043535,113.57517136087644,15,802.026931698044,896.2132002563733,15,-46.40797998020578,-0.2604872858321201,15,-32.53127589328797,30.279833206689627,15,-103.24142849493737,-81.44329077955827,15,-67.71808409352509,3.140212996285152,15,8.401237321142077,39.93287134457914,15,-8.430938717948875,36.15878988508358,15
1.317011,106.49134566593253,130.15608914725087,15,806.2600150063528,900.9578478157848,15,-48.35415581366217,-1.4615446354551196,15,-33.90096696550494,30.29216341956565,15,-111.01659102129406,-87.40765407724878,15,-66.51764096986687,3.9621691663690584,15,16.34567622579862,47.28795530591702,15,3.899329963633818,45.675119766623176,15
1.350344,123.04222355875697,150.38493990514715,15,817.8264162350719,913.8987242131814,15,-51.418796414368,-3.5342566014429266,15,-36.49071838291261,28.864853551759737,15,-119.8036898452173,-94.77684741811619,15,-61.115360703292055,5.88959067244787,15,32.09609442982709,54.98299926837767,15,18.512978358485153,56.154150477234104,15
1.383678,118.77691037441073,162.12422144798757,15,826.0479567983672,923.0950130586929,15,-52.18223572686374,-5.963591925630681,15,-35.10663116156089,31.735594904047293,15,-119.59948144629587,-92.9735246496895,15,-59.24395122182379,7.488433331668388,15,48.45209524724398,69.52219202337079,15,24.374218725344182,61.82390796216706,15
1.417011,105.2729378175215,162.06217841390333,15,823.5606476515238,920.3118596385383,15,,,0,,,0,,,0,,,0,,,0,,,0
1.450344,89.68454666318695,140.9573728835044,15,811.4015364069236,906.7163055052371,15,,,0,,,0,,,0,,,0,,,0,,,0
1.483667,65.20994199674674,100.97611361103333,15,786.770080570069,879.1777182664986,15,,,0,,,0,,,0,,,0,,,0,,,0
1.517,43.10173853091847,56.37514426249948,15,761.3629970237065,850.7603103570132,15,,,0,,,0,,,0,,,0,,,0,,,0
1.550333,2.1300748464522914,18.73099851467925,15,733.6816193440868,819.8015705326255,15,,,0,,,0,,,0,,,0,,,0,,,0
1.583667,-49.820691498538416,-5.50129659455429,15,707.7849480226059,797.1368523649601,15,,,0,,,0,,,0,,,0,,,0,,,0
1.617,-78.21526945808799,-33.76788361394794,15,710.4520452128053,803.9957307468419,15,,,0,,,0,,,0,,,0,,,0,,,0
1.650333,-87.33750696494417,-64.57413505592257,15,733.1846353085524,821.7580673990722,15,,,0,,,0,,,0,,,0,,,0,,,0
1.683667,-100.75821621873241,-78.72962882802044,15,772.2616762406932,862.8590722547686,15,,,0,,,0,,,0,,,0,,,0,,,0
1.717,-117.6308755146478,-74.58528959339802,15,830.4149103414244,927.8546886437523,15,-38.02342193890374,1.8586809683922985,14,4.077524908752711,39.50780889951306,14,-1.4301025039101347,23.542289491614678,14,-53.602852873417056,23.860464653265694,14,-35.55063352642165,71.40249180457378,14,-179.27126313452823,-142.54095880857537,14
1.750333,-124.31543861639578,-101.71263159523274,15,895.476905355644,1000.5621658539245,15,-35.63247299946037,-4.776493587664559,14,21.9128600098446,26.886102398141475,14,1.1503658664440772,23.87356880179812,14,-63.85350609347161,-28.162182423268664,14,-38.658473431662,16.47282877360574,14,-211.388022618602,-166.0747928464225,14
1.783656,-141.61088461129705,-111.1904368590013,15,959.3356366682093,1071.9166710193463,15,-33.48935062386125,-1.6508458242317678,14,6.728904888690209,19.587320217866274,14,2.353708623356084,21.137496183507473,14,-78.10600095544287,-34.41586001345684,14,-37.53098099231693,34.103275362067436,14,-241.31056139861974,-188.199626186023,14
1.816989,-155.86538706211024,-127.0919084847134,15,1017.8207491073299,1137.2629387891286,15,-26.87858089992188,0.12756768361659002,13,-2.0821073351419326,14.075123604969942,13,1.9285119821187102,13.403484232775261,13,-96.06412459842397,-42.07434451222717,13,-23.940388502826572,58.7973543092053,13,-263.5164716852045,-205.6298636771742,13
1.850322,-178.76319538497222,-140.80296678072025,15,1058.9868104717764,1183.2667700377522,15,,,2,,,2,,,2,,,2,,,2,,,2
1.883656,-174.3447456151965,-140.05859145978343,14,1071.2876222944824,1197.0258194220262,14,,,1,,,1,,,1,,,1,,,1,,,1
1.916989,-177.90346372988446,-145.55737941535978,14,1057.1749104711816,1181.270425560657,14,,,1,,,1,,,1,,,1,,,1,,,1
1.950322,,,1,,,1,,,0,,,0,,,0,,,0,,,0,,,0
1.983656,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.016989,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.050322,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.083656,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.116978,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.150311,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.183644,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.216978,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.250311,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.283644,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.316978,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.350311,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.383633,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.416967,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.4503,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2.483633,,,1,,,1,,,0,,,0,,,0,,,0,,,0,,,0
2.516967,88.17998813152825,107.77554104964572,14,850.2344725333987,950.0582073247781,14,,,0,,,0,,,0,,,0,,,0,,,0
2.5503,77.67760196789946,96.9442958261166,14,814.5542103749159,910.1835100567868,14,,,0,,,0,,,0,,,0,,,0,,,0
2.583633,70.33437006939816,85.96423008481986,15,793.532815231946,886.6933042902032,15,,,0,,,0,,,0,,,0,,,0,,,0
2.616967,54.4225750273163,76.00227438792903,15,784.5531690050591,876.6652812543811,15,,,0,,,0,,,0,,,0,,,0,,,0
2.6503,34.53133954187693,74.31055829436212,15,783.9581964297238,876.0126643149922,15,,,0,,,0,,,0,,,0,,,0,,,0
2.683622,40.80840287601053,74.54491382435278,15,792.0578805341172,885.0815408058803,15,-52.86697955086346,-41.49196054260794,12,-19.81777168270642,14.677092567979372,12,-75.20735839030614,-52.41162074908502,12,-67.08252190233648,-1.1362370213646438,12,10.43769374074671,20.40818258491157,12,-19.464144748023674,33.196813276628056,12
2.716956,60.095363787894605,77.0721115735224,15,812.4864154031204,907.9313408408359,15,-49.70393308348908,-35.84453853274998,14,-19.668179773959714,6.874660231487223,14,-76.13388956358305,-40.938234398540985,14,-82.07688804204906,-6.925948978520149,14,11.24483515997818,26.5507581916114,14,-33.91551535752059,26.006893780093737,14
2.750289,73.55571885730998,89.90143415893438,15,820.0436163083763,916.3929684919549,15,-42.514689885128,-16.716370761802153,14,-10.860771526832249,-2.2317088648565306,14,-63.04375321894716,-12.742031029424489,14,-105.27596513851348,-13.812260501112842,14,-3.6139455343846336,28.211026061792484,14,-66.55429333410137,13.57427265218963,14
2.783622,79.12997225902,108.3994005760441,15,817.7381608218691,913.8253106564695,15,-37.386164373610065,-0.48250948145422257,14,-11.267015066897848,43.388592436528974,14,-57.69472699611045,-30.830641379857582,14,-40.22873844978639,1.2328523429281182,14,0.0418964961571362,23.651484754477654,14,-30.290319938539486,18.170729157454495,14
2.816956,78.51743258556421,113.16287535474957,15,792.7953680020315,885.9451592612127,15,-35.018014348932276,-0.5097173265258164,14,-10.903202306653895,29.98441355107692,14,-51.97787680613069,-18.435982251067845,14,-46.63559846356162,1.5845495620273375,14,7.183957615423149,18.58077134868185,14,-51.120017831738025,13.200915210193472,14
2.850289,76.49428501780116,110.32493776605727,15,760.436952635106,849.7616655569178,15,-32.510542831924276,0.9593018330327325,14,-11.184270271483182,29.253180591715072,14,-47.88887297192514,-12.994549839082522,14,-40.30649056483328,1.3322089375413766,14,3.4071595678416378,16.195793633539363,14,-57.58356175404347,11.160046284192706,14
2.883622,65.48980821769227,90.66918854654352,15,731.3681211159142,817.237511483405,15,-33.90142032002526,1.8385397385099438,14,-11.840905925040996,30.604435804289878,14,-49.720545792559854,-25.47583763148957,14,-31.852071537194124,0.9803024203796968,14,-0.48881112037522934,13.584381181897315,14,-42.72905497877181,11.380930549807555,14
2.916956,50.011402458418175,70.14676440844609,15,722.0707999768089,819.1631550729835,15,-37.580319662770854,-8.549896756160067,14,-10.545046104152998,-2.1981528111325446,14,-55.127467208584164,1.9946944091497611,14,-89.98525873432007,-12.98348926747782,14,-20.12312868721421,13.858056212725554,14,-102.62377132333148,-4.6086933879044025,14
2.950278,29.071342049713838,37.80945300216971,15,737.017961569598,835.7155555705381,15,-42.31789599382107,-35.530385997264496,14,-19.894578337878688,8.208290344211743,14,-60.83510203876216,-39.96861446924803,14,-57.96991213527514,-5.020232973564363,14,-2.2597563465808115,8.810442240177442,14,-53.244564308565984,4.2974123411932466,14
2.983611,-5.833874827824202,11.09108077567524,15,776.0728206264577,867.0774421032771,15,-56.113654159749814,-40.878332865415295,13,-18.61671115247831,25.147353703556572,13,-63.89477573907443,-51.92323147349544,13,-42.59497122088429,-0.5672297503442102,13,-0.5754209289882736,5.067202356395374,13,-31.63148765733152,13.044954949143657,13
3.016944,-25.503008591261754,-10.684534594640638,15,830.3340646024119,927.6784539558827,15,,,1,,,1,,,1,,,1,,,1,,,1
3.050278,-46.64767174377462,-22.772597854374435,15,891.8169740212278,996.3646653476609,15,,,1,,,1,,,1,,,1,,,1,,,1
3.083611,-65.578788427694,-32.084953119291924,15,953.2716489341149,1065.0354656078355,15,,,1,,,1,,,1,,,1,,,1,,,1
3.116944,-69.07018787009392,-31.78087308329328,15,1014.8602640985571,1133.8703543729998,15,,,1,,,1,,,1,,,1,,,1,,,1
3.150278,-52.574274560847286,-26.9187230137863,15,1056.6417404117385,1180.5866683570705,15,,,1,,,1,,,1,,,1,,,1,,,1
3.183611,-33.27962804506402,-18.606522695495382,15,1080.6278786720654,1207.423658204428,15,,,4,,,4,,,4,,,4,,,4,,,4
3.216944,-11.674871869614945,-6.374634289942522,15,1067.6973945270208,1193.0139938027712,15,-69.76556564154995,-48.511492104210376,14,-15.238375216109109,47.383213239588976,14,-136.90043364813647,-102.77287969523587,14,-56.21965771760185,-2.662725174550189,14,4.860561190040366,27.686409618510545,14,-62.26886904067665,9.988128203407419,14
3.250267,5.355245516110856,16.650704391537023,15,1036.6543881647056,1158.3677018256753,15,-57.54937976644499,-45.35746284151776,14,-22.020086045013702,18.517670630412397,14,-138.17294786864736,-79.78172087741555,14,-73.1379755834784,-6.030237487357062,14,12.664675648935322,28.876693543364247,14,-95.64490265558305,2.299604594121024,14
3.2836,12.710742570968781,45.287728845361656,15,993.1465067007849,1109.7915669871397,15,-51.39742913058075,-35.710835485860635,14,-21.194624325380033,5.190774448455169,14,-128.49346372103554,-50.32351778407575,14,-87.97833338192291,-7.336162928663956,14,14.314872575390002,33.854747864144855,14,-127.29763431451138,-0.8792184566083145,14
